source_index,target_index,neighbor_rank,distance
1881,5557,10,0.8913028995369887
1882,1888,1,0.38935582068102786
1882,1881,2,0.533502955410202
1882,1884,3,0.5363678252576292
1882,4076,4,0.5637391943733191
1882,4949,5,0.6359683752042691
1882,1695,6,0.6669458640572926
1882,1694,7,0.7014223101884227
1882,1883,8,0.7401292530345244
1882,4523,9,0.7483511356359622
1882,4515,10,0.7500702969379596
1883,4523,1,0.0716686335447935
1883,4515,2,0.08697625960901385
1883,3336,3,0.2332030082784323
1883,1877,4,0.36824951758176006
1883,1888,5,0.4743797344459084
1883,4076,6,0.48169940256452326
1883,1694,7,0.487904104500097
1883,1700,8,0.5236576289269327
1883,1880,9,0.5382465232601421
1883,1879,10,0.5484622150468087
1884,1881,1,0.1171917854593428
1884,1882,2,0.5363678252576292
1884,1749,3,0.607473937098954
1884,1695,4,0.6248397201762096
1884,1888,5,0.8168799904789437
1884,4949,6,0.8335204123936991
1884,1740,7,0.8469862711060279
1884,1708,8,0.8501559136758856
1884,3413,9,0.8631348721927868
1884,5557,10,0.88769318160978
1885,1889,1,0.6136903161692245
1885,1694,2,0.6293402761282716
1885,3336,3,0.725644736362021
1885,1879,4,0.7356225282895238
1885,6064,5,0.7746409049705487
1885,4528,6,0.7751492343159512
1885,4523,7,0.7832252217716532
1885,4515,8,0.7856385404500563
1885,1883,9,0.7862242012407542
1885,3335,10,0.7888853256231337
1886,4524,1,0.08087688922442539
1886,6064,2,0.4596706117592264
1886,1879,3,0.47564425201666166
1886,3335,4,0.5146445890414046
1886,4528,5,0.5235918252618903
1886,1694,6,0.5825596069416182
1886,4949,7,0.583433233981857
1886,4526,8,0.6286426394464515
1886,2981,9,0.637895723512516
1886,1889,10,0.6946909140000485
1887,1841,1,0.5394060925670027
1887,5989,2,0.6788776898110398
1887,1748,3,0.7151238396957955
1887,1740,4,0.7507845235359116
1887,4522,5,0.7632699346824948
1887,4514,6,0.7651989685054409
1887,1745,7,0.8397160073713186
1887,30,8,0.8403281931222685
1887,3432,9,0.856377727778461
1887,1809,10,0.8629705486956447
1888,1882,1,0.38935582068102786
1888,4076,2,0.4400116638823182
1888,1883,3,0.4743797344459084
1888,4523,4,0.48078695085013184
1888,4515,5,0.483305874999636
1888,2729,6,0.5750871891744412
1888,3336,7,0.6300562764422173
1888,1700,8,0.6346531506022091
1888,1694,9,0.6687156771484255
1888,4137,10,0.6913883473986575
1889,6064,1,0.5695324935102344
1889,1694,2,0.5992283910006152
1889,1885,3,0.6136903161692245
1889,1879,4,0.6719014901693617
1889,4524,5,0.6741687153422214
1889,4528,6,0.6871423143444444
1889,1886,7,0.6946909140000485
1889,3335,8,0.7014702615753974
1889,3331,9,0.724988194644068
1889,3336,10,0.7428343830081456
1890,1398,1,0.5973411680742541
1890,1879,2,0.6509364233518496
1890,3331,3,0.6621373622493074
1890,370,4,0.7717245395113859
1890,1886,5,0.792082144325508
1890,4524,6,0.7948756334225244
1890,2685,7,0.8673144615849453
1890,4355,8,0.8706412929619977
1890,6064,9,0.9082899837980649
1890,1889,10,0.9384967340959852
1891,3924,1,1.0293392140913573
1891,1294,2,1.2596096843368074
1891,179,3,1.3445797670978807
1891,5193,4,1.4502252257808674
1891,4002,5,1.4726231463623642
1891,3371,6,1.5433345779831142
1891,4320,7,1.5573059860417946
1891,5916,8,1.6530522655950477
1891,3770,9,1.6795870079514783
1891,1835,10,1.6868272121086263
1892,4401,1,0.4619814249039384
1892,2296,2,0.48889751331791587
1892,5760,3,1.2964645894090476
1892,1893,4,1.3023706916882607
1892,5290,5,1.3685102242448373
1892,1898,6,1.3810923708966223
1892,4614,7,1.381881418763875
1892,5761,8,1.3857876784178607
1892,1897,9,1.3908316282440567
1892,1860,10,1.3960127398626887
1893,4614,1,0.46198142490384614
1893,5761,2,0.47353782434573416
1893,1815,3,0.5780849917923268
1893,3681,4,0.936638467984231
1893,5760,5,0.9557011607355872
1893,1892,6,1.3023706916882607
1893,3505,7,1.3079926350913884
1893,4401,8,1.3818814187638855
1893,2296,9,1.391111137579258
1893,3147,10,1.6652401854106684
1894,1872,1,0.15351329725217155
1894,4729,2,0.29880288824981843
1894,5186,3,0.3054183776739646
1894,3304,4,0.3322103027799021
1894,2841,5,0.4954370388676212
1894,3210,6,0.5016054540192236
1894,3015,7,0.5229375274102865
1894,2765,8,0.5306723274909753
1894,334,9,0.5468615904835346
1894,4459,10,0.5870063872807691
1895,1585,1,0.24694880656747212
1895,1316,2,0.29056499069456104
1895,4818,3,0.3055947203916823
1895,1865,4,0.32382518947140654
1895,1870,5,0.3986926338467405
1895,4145,6,0.4163349585731329
1895,140,7,0.4243779477095604
1895,1519,8,0.42596786899241046
1895,3182,9,0.5148571490391736
1895,4151,10,0.564425456822511
1896,1899,1,0.1503341408257445
1896,1468,2,0.25961595487526024
1896,4983,3,0.296095315574571
1896,4151,4,0.3044431002552018
1896,4553,5,0.3079602172317902
1896,5653,6,0.3437567183805556
1896,3270,7,0.3508166431576414
1896,1906,8,0.4316264745426416
1896,17,9,0.4332772413576898
1896,934,10,0.43652028667962095
1897,1898,1,0.0554625963470571
1897,1860,2,0.06848617270374961
1897,3703,3,0.13348024807425896
1897,5290,4,0.14936891165870064
1897,4461,5,0.15804303709979667
1897,1840,6,0.25959791135445026
1897,6114,7,0.32453780946823857
1897,247,8,0.37170592599271934
1897,5683,9,0.5031770523129804
1897,3767,10,0.5211477827212144
1898,1897,1,0.0554625963470571
1898,1860,2,0.1050589316024055
1898,5290,3,0.10772509490957717
1898,3703,4,0.13649896411844403
1898,4461,5,0.17871568170546995
1898,1840,6,0.2380854886018165
1898,6114,7,0.33460005264255277
1898,247,8,0.3805229308097757
1898,5683,9,0.5100478794054986
1898,93,10,0.5197225575622704
1899,1896,1,0.1503341408257445
1899,5653,2,0.2948665688977581
1899,1468,3,0.3001658584786904
1899,4553,4,0.3152057669914597
1899,4983,5,0.3186279462400207
1899,4151,6,0.35519390290157765
1899,3270,7,0.38967670953929295
1899,934,8,0.44073109044091663
